2623395305,1606518000,ON3URE/02,JO20cw,-14,7.040000,7X2UV,JM16mt,37,0,1573,3,7,1.3 Kiwi,1
2623392776,1606518000,ON3URE/03,JO20cw,-12,7.040002,7X2UV,JM16mt,37,0,1573,3,7,1.3 Kiwi,1
2623395207,1606518000,ON3URE/01,JO20cw,-14,7.040076,CT7AEB,IM58ob,23,0,1759,31,7,1.3 Kiwi,1
2623395259,1606518000,ON3URE/02,JO20cw,-14,7.040114,CT7AEB,IM58ob,23,0,1759,31,7,1.3 Kiwi,1
2623394273,1606518000,ON3URE/A0,JO11jd,-27,7.040067,CT7AEB,IM58ob,23,0,1715,28,7,1.3 Kiwi,1
2623395143,1606518000,ON3URE/01,JO20cw,-13,7.040030,EA5CYA,IM99,23,0,1338,16,7,1.3 Kiwi,1
2623395185,1606518000,ON3URE/02,JO20cw,-12,7.040068,EA5CYA,IM99,23,0,1338,16,7,1.3 Kiwi,1
2623393565,1606518000,ON3URE/A0,JO11jd,-20,3.594096,G8LIK,IO93,23,0,368,133,3,1.3 Kiwi,1
2623395377,1606518000,ON3URE/02,JO20cw,-22,7.040031,K4APC,EM81,37,0,7167,44,7,1.3 Kiwi,1
2623393272,1606518000,ON3URE/03,JO20cw,-24,7.040033,K4APC,EM81,37,0,7167,44,7,1.3 Kiwi,1
2623393306,1606518000,ON3URE/03,JO20cw,-23,7.040110,KD6RF,EM22lr,37,0,7834,41,7,1.3 Kiwi,1
2623393300,1606518000,ON3URE/A0,JO11jd,-22,3.594121,OK2SAM,JN99du,27,0,1104,283,3,1.3 Kiwi,1
2623392157,1606518000,ON3URE/A0,JO11jd,-20,14.097013,ON0VRN,JO11ja,23,0,14,0,14,1.3 Kiwi,1
2623392831,1606518000,ON3URE/03,JO20cw,-12,7.040065,UA3DJR,KO85xu,30,0,2279,270,7,1.3 Kiwi,1
2623394146,1606518000,ON3URE/A0,JO11jd,-21,7.040017,UA3DJR,KO85xu,30,0,2357,272,7,1.3 Kiwi,1
2623395260,1606518000,ON3URE/01,JO20cw,-18,7.040044,WA3DNM,FM29fw,37,0,6031,50,7,1.3 Kiwi,1
2623395307,1606518000,ON3URE/01,JO20cw,-22,7.040091,WA4DT,EM94lx,37,0,6760,46,7,1.3 Kiwi,1
2623395341,1606518000,ON3URE/02,JO20cw,-14,7.040129,WA4DT,EM94lx,37,0,6760,46,7,1.3 Kiwi,1
2623392999,1606518000,ON3URE/03,JO20cw,-16,7.040130,WA4DT,EM94lx,37,0,6760,46,7,1.3 Kiwi,1
2623394193,1606518000,ON3URE/A0,JO11jd,-22,7.040082,WA4DT,EM94lx,37,0,6660,46,7,1.3 Kiwi,1
2623395125,1606518000,ON3URE/02,JO20cw,-6,7.040083,YO4DFT,KN44hd,30,-3,1971,301,7,1.3 Kiwi,1
2623393884,1606518000,ON3URE/03,JO20cw,-7,7.040085,YO4DFT,KN44hd,30,-2,1971,301,7,1.3 Kiwi,1
2623394109,1606518000,ON3URE/A0,JO11jd,-17,7.040037,YO4DFT,KN44hd,30,-3,2072,301,7,1.3 Kiwi,1
2623398529,1606518120,ON3URE/01,JO20cw,-27,7.040051,EA5CHA,IM99,23,0,1338,16,7,1.3 Kiwi,1
2623398699,1606518120,ON3URE/02,JO20cw,-25,7.040088,EA5CHA,IM99,23,0,1338,16,7,1.3 Kiwi,1
2623396535,1606518120,ON3URE/A0,JO11jd,-5,3.594062,G1CPC,IO91op,23,0,255,101,3,1.3 Kiwi,1
2623398432,1606518120,ON3URE/01,JO20cw,-22,7.040060,HA6QL,JN97xs,37,0,1191,293,7,1.3 Kiwi,1
2623398476,1606518120,ON3URE/02,JO20cw,-9,7.040098,HA6QL,JN97xs,37,0,1191,293,7,1.3 Kiwi,1
2623398401,1606518120,ON3URE/03,JO20cw,-8,7.040100,HA6QL,JN97xs,37,0,1191,293,7,1.3 Kiwi,1
2623398459,1606518120,ON3URE/A0,JO11jd,-19,7.040052,HA6QL,JN97xs,37,0,1293,293,7,1.3 Kiwi,1
2623396603,1606518120,ON3URE/01,JO20cw,-21,14.097004,IQ5LU,JN53fu,37,-2,917,331,14,1.3 Kiwi,1
2623397204,1606518120,ON3URE/02,JO20cw,-12,14.097080,IQ5LU,JN53fu,37,-2,917,331,14,1.3 Kiwi,1
2623398568,1606518120,ON3URE/03,JO20cw,-23,7.040082,IW1QLH,JN43,17,1,903,338,7,1.3 Kiwi,1
2623398520,1606518120,ON3URE/03,JO20cw,-20,7.040138,IZ1CQN,JN35ub,23,0,703,340,7,1.3 Kiwi,1
2623398630,1606518120,ON3URE/02,JO20cw,-28,7.040162,KB8EZX,EN91dk,37,1,6316,49,7,1.3 Kiwi,1
2623398634,1606518120,ON3URE/02,JO20cw,-26,7.040047,MW0MAU,IO81jp,40,0,521,96,7,1.3 Kiwi,1
2623396473,1606518120,ON3URE/A0,JO11jd,-20,3.594078,SM3ESX,JP82,20,0,1520,221,3,1.3 Kiwi,1
2623398557,1606518120,ON3URE/02,JO20cw,-21,7.040131,WA4KFZ,FM18gv,37,0,6231,49,7,1.3 Kiwi,1
2623399856,1606518240,ON3URE/01,JO20cw,-23,7.040076,CT7AEB,IM58ob,23,0,1759,31,7,1.3 Kiwi,1
2623401613,1606518240,ON3URE/02,JO20cw,-24,7.040114,CT7AEB,IM58ob,23,0,1759,31,7,1.3 Kiwi,1
2623401567,1606518240,ON3URE/A0,JO11jd,-25,7.040055,KC2TER,FN20,30,-3,5859,50,7,1.3 Kiwi,1
